time	V(vin)	V(n002)
3.482149855863760e-007	2.527132e+000	3.252810e+000
3.485664393483481e-007	2.527158e+000	3.253273e+000
3.492693468722924e-007	2.527212e+000	3.254180e+000
3.504998505882613e-007	2.527307e+000	3.255686e+000
3.518308767676179e-007	2.527409e+000	3.257127e+000
3.544929291263312e-007	2.527613e+000	3.259367e+000
3.587821036831509e-007	2.527941e+000	3.261542e+000
3.654562023321961e-007	2.528452e+000	3.262305e+000
3.739726254766513e-007	2.529103e+000	3.259587e+000
3.864623749534728e-007	2.530055e+000	3.248878e+000
4.083314414524097e-007	2.531718e+000	3.216410e+000
4.358960346721332e-007	2.533807e+000	3.158016e+000
4.661939917570143e-007	2.536090e+000	3.077549e+000
4.999678426087253e-007	2.538620e+000	2.976348e+000
5.376371210349935e-007	2.541422e+000	2.858894e+000
5.748314160908231e-007	2.544166e+000	2.746204e+000
6.122343336427458e-007	2.546901e+000	2.644585e+000
6.563297172357429e-007	2.550092e+000	2.546321e+000
