time	V(b0)	V(b1)	V(mosi)
1.213585757603640e-006	5.277103e-006	5.006280e+000	0.000000e+000
1.236399323761638e-006	3.911965e-006	5.006392e+000	0.000000e+000
1.259662491123129e-006	2.821901e-006	5.006460e+000	0.000000e+000
1.283105742193641e-006	1.927871e-006	5.006486e+000	0.000000e+000
1.314125976492687e-006	1.002780e-006	5.006471e+000	0.000000e+000
1.351967322861910e-006	2.225641e-007	5.006402e+000	0.000000e+000
1.399550932686175e-006	-2.602560e-007	5.006281e+000	0.000000e+000
1.457370552392045e-006	-2.427588e-007	5.006151e+000	0.000000e+000
1.526441743461647e-006	3.205973e-007	5.006072e+000	0.000000e+000
1.568742738827585e-006	8.394400e-007	5.006089e+000	0.000000e+000
1.602812242521397e-006	1.288862e-006	5.006152e+000	0.000000e+000
1.634964572256366e-006	1.670197e-006	5.006247e+000	0.000000e+000
1.669473853180478e-006	1.998277e-006	5.006377e+000	0.000000e+000
1.704110407492403e-006	2.214428e-006	5.006526e+000	0.000000e+000
1.750591773151398e-006	2.314141e-006	5.006738e+000	0.000000e+000
1.812184843070154e-006	2.170583e-006	5.006998e+000	0.000000e+000
1.903524458501833e-006	1.641660e-006	5.007309e+000	0.000000e+000
1.967582153572244e-006	1.183767e-006	5.007457e+000	0.000000e+000
2.026897600249999e-006	8.071506e-007	5.007530e+000	0.000000e+000
2.099619188895702e-006	5.076345e-007	5.007572e+000	0.000000e+000
2.169630669430581e-006	4.023343e-007	5.007593e+000	0.000000e+000
2.345495717887703e-006	5.275618e-007	5.007672e+000	0.000000e+000
2.430967591487968e-006	5.641141e-007	5.007736e+000	0.000000e+000
2.533365587752001e-006	4.731446e-007	5.007801e+000	0.000000e+000
2.654103266142516e-006	2.388041e-007	5.007829e+000	0.000000e+000
2.762907830141910e-006	2.801170e-009	5.007797e+000	0.000000e+000
2.877095877582921e-006	-1.866320e-007	5.007707e+000	0.000000e+000
3.011564793878108e-006	-3.241902e-007	5.007555e+000	0.000000e+000
3.189971228735421e-006	-4.676709e-007	5.007306e+000	0.000000e+000
3.326449345820206e-006	-6.041096e-007	5.007076e+000	0.000000e+000
3.456941745771133e-006	-7.590394e-007	5.006799e+000	0.000000e+000
3.690625116693150e-006	-1.014175e-006	5.006196e+000	0.000000e+000
3.912079228744752e-006	-1.200790e-006	5.005515e+000	0.000000e+000
4.308210724519524e-006	-1.441978e-006	5.004069e+000	0.000000e+000
5.011412220811131e-006	-1.654587e-006	5.001199e+000	0.000000e+000
5.749336848923836e-006	-1.531137e-006	4.998203e+000	0.000000e+000
6.451147501329889e-006	-1.117873e-006	4.995716e+000	0.000000e+000
6.780197419081502e-006	-8.304439e-007	4.994819e+000	0.000000e+000
7.013538425699505e-006	-5.851715e-007	4.994366e+000	0.000000e+000
